name,shelter_started_at,home_started_at,back_shelter_at,link,поступление,пристройство,возврат
КАНТЕМИР,2025-10-28,,,https://helpdog.ru/forum/threads/kantemir-najdenysh-nuzhna-pomosch.16405/,сообщение 2025-11-03: Передержка с 28.10.25 по 31.,,
АДЕЛИНА,2025-08-17,2025-10-25,,https://helpdog.ru/forum/threads/adelina-molodenkuju-staffku-zabrali-iz-neblagopoluchnyx-uslovij.16390/,сообщение 2025-08-25: Передержка с 17.08.25 по 31.,сообщение 2025-10-25: Аделина поехала домой,
БАТЛЕР,2024-04-25,2024-07-10,,https://helpdog.ru/forum/threads/batler-balakovo-nuzhny-finkuratory.16223/,сообщение 2024-04-26: Передержка с 25.04.24 по 30.,сообщение 2024-07-10: Батлер поехал домой,
НЕРО,2022-09-06,,,https://helpdog.ru/forum/threads/nero-ocherednoj-nenuzhnyj-posle-smerti-xozjaina-kovrov.15758/,сообщение 2022-09-05: Передержка с 06.09.22 по 30.,,
ЯНТАРЕК,2024-06-19,,,https://helpdog.ru/forum/threads/jantarek-jakutsk-nuzhny-finkuratory.16276/,сообщение 2024-06-20: Передержка с 19.06.24 по 30.,,
ТОДЕС,2022-03-24,,,https://helpdog.ru/forum/threads/todes-turcija-malchik-umiraet-blagodarja-usilijam-ljudej.15292/,сообщение 2021-09-27: Расход Обработка при поступлении - 0 Передержка с 24.03.22 по 31.,,
ЯСИР,2022-04-04,2022-04-11,,https://helpdog.ru/forum/threads/jasir-jakutsk-sdali-v-ppzh.15588/,сообщение 2022-04-03: Расход Перелет из Якутска в Москву - 7750 Обработка при поступлении - 800 Передержка с 04.04.22 по 30.,"сообщение 2022-04-11: Ясир поехал домой. Удачи, малыш",
ОЛЛИ,2023-02-21,,,https://helpdog.ru/forum/threads/olli-najden-volonterami-v-osetii.15913/,сообщение 2023-02-21: Передержка с 21.02.23 по 28.,,
САНДР,2019-10-24,,,https://helpdog.ru/forum/threads/sandr-esche-odna-broshennaja-dusha-v-sochi-nuzhny-finkuratory-na-5000.14119/,сообщение 2019-09-30: Передержка с 24.10.19 по 31.,,
ГЕРАНЬ,2023-01-01,,,https://helpdog.ru/forum/threads/geran-chjornaja-metiska-iz-koroljova.13607/,сообщение 2018-11-10: Передержка с 01.01.23 по 31.,,
ГЕРТРУДА,2024-05-11,,,https://helpdog.ru/forum/threads/gertruda-gruzija-nuzhny-finkuratory.16235/,сообщение 2024-05-06: Передержка с 11.05.24 по 31.,,
ТРИТОН,2022-01-01,,,https://helpdog.ru/forum/threads/triton-shikarnyj-malchik-ischet-dom-nuzhny-finkuratory-na-6500r.13456/,сообщение 2018-09-07: Передержка с 01.01.22 по 31.,,
ПРАДО,2021-10-02,,2021-10-02,https://helpdog.ru/forum/threads/prado-help-izranennyj-pit-povarovo-vernulsja.13818/,сообщение 2019-03-21: 19 1000р на СБ от Светлана Нестерова из ФБ 1000р на СБ от Анна Мячина из ФБ 500р на 05-28 от Александра Кузьмина из ФБ 1000р на СБ от Irina Uch из ФБ Итого - 11300 Расход Передержка с 02.10.21 по 31.,,сообщение 2021-10-02: Вернулся в приют сегодня.
МАРТИН,2022-01-14,,,https://helpdog.ru/forum/threads/martin-xozjaina-posadili-drugix-variantov-u-sobaki-krome-prijuta-net-nuzhny-finkuratory.15442/,сообщение 2022-01-14: Передержка с 14.01.22 по 31.,,
ЯНВАР,2022-02-07,,,https://helpdog.ru/forum/threads/janvar-jakutsk-sobaka-v-klinike-nuzhna-pomosch.15484/,сообщение 2022-01-29: 5000 на сб от Tussikola ТГ Итого: 62620 Расход Перелет из Якутска до Москвы - 10000 Оплата клиники - 3200 Оплата клиники - 7500 Обработка при поступлении - 0 Передержка с 07.02.22 по 28.,,
МАРСЕЛЬ,2021-01-01,2022-01-13,2022-01-23,https://helpdog.ru/forum/threads/marsel-privezli-staffa-skazali-chto-brali-v-sheremetevo.13889/,сообщение 2019-05-09: Передержка с 01.01.21 по 19.,"сообщение 2022-01-13: Тихонечко, затаив дыхание, говорим, что Марсель два дня назад уехал домой! Пока полет нормальный!",
РАВОН,2022-08-26,,,https://helpdog.ru/forum/threads/ravon-besxoznyj-staff-brodil-po-derevne-karpova-ramenskogo-r-na-risk-otstrela.15752/,сообщение 2022-08-26: Передержка с 26.08.22 по 31.,,
