trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.5,0.0,0.5,1.6666666666666667,0.25,1.0,1.0,1.0,0.125,3.3333333333333335,3.1666666666666665,2.3333333333333335,1.6666666666666667,3,0.7545201499720416
1.875,0.0,0.0,0.0,0.0,0.3333333333333333,2.0,0.3333333333333333,1.125,0.8333333333333334,2.8333333333333335,0.0,0.0,2,0.9999994596874147
1.75,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.6666666666666666,0.375,1.6666666666666667,1.1666666666666667,2.0,1.6666666666666667,2,0.9999996633842174
1.125,0.0,0.0,2.0,0.0,1.0,0.5,1.3333333333333333,0.75,2.8333333333333335,2.3333333333333335,4.0,1.6666666666666667,2,0.9999981977137479
1.25,0.5,0.0,0.0,3.5,2.3333333333333335,4.0,3.3333333333333335,0.5,2.5,2.5,3.3333333333333335,1.6666666666666667,1,0.9714919990929531
1.0,0.0,0.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,2.0,1.3333333333333333,1.125,1.5,0.8333333333333334,1.3333333333333333,2.3333333333333335,4,0.9977594941205492
1.25,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.25,0.8333333333333334,0.6666666666666666,4.0,0.0,2,0.9999998535007936
1.625,0.0,0.0,2.3333333333333335,0.0,0.8333333333333334,0.5,1.0,0.0,1.3333333333333333,1.1666666666666667,4.0,1.0,2,0.999999261218157
1.25,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.25,1.6666666666666667,3.3333333333333335,3.3333333333333335,1.6666666666666667,2,0.9999991087665469
1.875,0.0,0.1666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.375,1.3333333333333333,1.5,2.0,0.6666666666666666,4,0.9998744395011202
1.625,0.0,1.0,1.0,0.0,0.5,0.5,1.0,1.25,2.3333333333333335,3.6666666666666665,3.0,2.6666666666666665,4,0.9999838336659514
1.0,0.0,0.0,1.0,0.0,0.8333333333333334,1.0,0.0,0.25,1.3333333333333333,1.8333333333333333,0.3333333333333333,2.0,2,0.9999998040105368
1.25,0.0,0.0,0.0,0.0,0.6666666666666666,4.0,2.0,0.75,2.5,2.0,0.3333333333333333,2.0,2,0.9999646431082904
1.875,0.0,0.0,1.6666666666666667,0.25,1.5,0.0,0.0,1.625,2.6666666666666665,2.3333333333333335,3.0,2.0,1,0.9998321930269548
1.375,0.1666666666666666,0.0,3.6666666666666665,0.0,2.1666666666666665,2.5,1.0,0.875,2.3333333333333335,1.8333333333333333,4.0,2.0,1,0.9809450831074933
1.0,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,3.0,1.6666666666666667,0.0,2.8333333333333335,1.8333333333333333,0.3333333333333333,1.6666666666666667,2,0.9999930598644154
1.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25,2.8333333333333335,3.1666666666666665,3.0,2.3333333333333335,2,0.9999994762592944
1.25,0.0,0.0,2.6666666666666665,0.0,0.8333333333333334,0.0,1.0,0.25,2.6666666666666665,1.0,1.0,1.6666666666666667,2,0.9999987819825612
1.625,0.0,0.0,2.0,0.75,0.5,2.0,0.0,0.375,1.0,1.8333333333333333,1.3333333333333333,0.0,1,0.9996563050563674
2.0,0.0,0.0,0.6666666666666666,3.0,0.6666666666666666,0.0,0.0,0.125,1.3333333333333333,1.0,1.5,0.3333333333333333,1,0.9999709696359567
1.25,0.0,0.0,2.6666666666666665,0.5,1.5,0.0,0.0,0.125,1.0,1.8333333333333333,1.3333333333333333,1.3333333333333333,1,0.9998548704338042
1.125,0.0,0.0,0.0,0.0,1.5,0.0,0.3333333333333333,1.875,1.3333333333333333,1.8333333333333333,3.0,2.0,2,0.9999899010047366
1.5,0.0,0.0,1.6666666666666667,1.5,1.6666666666666667,0.5,1.0,0.5,3.0,1.1666666666666667,3.5,2.6666666666666665,1,0.9999711449742359
1.375,0.0,0.0,2.0,0.0,1.3333333333333333,0.5,0.6666666666666666,0.625,2.5,2.0,3.3333333333333335,0.6666666666666666,2,0.9999986496069578
1.75,0.0,0.5,2.6666666666666665,0.0,0.3333333333333333,1.0,1.6666666666666667,1.25,1.3333333333333333,3.1666666666666665,2.6666666666666665,3.3333333333333335,4,0.9999925062538637
1.625,0.0,0.0,3.3333333333333335,0.0,0.1666666666666666,4.0,0.0,1.125,1.3333333333333333,2.3333333333333335,0.3333333333333333,2.3333333333333335,2,0.9999535545549826
1.875,0.0,0.0,2.0,0.0,1.0,2.5,1.5,0.75,2.6666666666666665,2.0,2.6666666666666665,2.0,2,0.9999950451545405
1.75,0.0,0.0,0.6666666666666666,0.0,1.0,0.5,1.0,0.75,1.3333333333333333,3.8333333333333335,1.6666666666666667,0.6666666666666666,2,0.9999993668545285
1.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.5,0.3333333333333333,0.75,2.1666666666666665,2.5,2.6666666666666665,1.6666666666666667,2,0.9999996330334608
1.75,0.0,0.0,0.0,2.5,3.8333333333333335,3.5,0.0,0.25,1.3333333333333333,2.0,0.0,1.0,1,0.9999953864078379
2.0,0.0,1.3333333333333333,0.6666666666666666,0.0,1.8333333333333333,0.5,0.0,0.375,1.8333333333333333,1.1666666666666667,2.0,1.6666666666666667,4,0.9987479062555887
2.125,0.0,0.0,1.3333333333333333,1.0,1.6666666666666667,1.0,2.0,0.875,1.5,1.8333333333333333,0.3333333333333333,0.6666666666666666,1,0.9932249579420309
1.625,0.3333333333333333,0.0,2.6666666666666665,1.5,1.5,3.0,0.0,0.5,3.6666666666666665,4.0,1.5,2.3333333333333335,1,0.9996881671573958
1.25,0.0,0.0,3.3333333333333335,0.75,0.3333333333333333,1.5,0.0,1.25,1.5,2.1666666666666665,4.0,2.3333333333333335,1,0.9999657163664752
1.25,0.3333333333333333,0.1666666666666666,2.0,2.25,2.1666666666666665,1.0,1.0,1.0,2.3333333333333335,2.6666666666666665,3.0,1.6666666666666667,5,0.6295576896374618
1.625,0.0,0.0,0.6666666666666666,2.0,2.1666666666666665,1.5,0.0,0.875,2.0,1.8333333333333333,3.0,2.6666666666666665,1,0.9999676588871748
0.625,0.0,0.0,1.3333333333333333,2.75,1.5,1.0,0.0,0.25,2.0,1.8333333333333333,3.0,1.3333333333333333,1,0.9999819384636919
1.75,0.0,0.3333333333333333,1.0,2.0,2.1666666666666665,0.0,0.6666666666666666,1.5,3.0,3.5,1.0,1.3333333333333333,3,0.8789822139362751
1.625,0.1666666666666666,0.8333333333333334,3.0,1.5,2.3333333333333335,2.0,0.6666666666666666,1.75,3.0,3.8333333333333335,3.0,2.3333333333333335,5,0.9999303548115291
1.75,0.0,1.3333333333333333,4.0,0.5,0.5,2.5,0.0,1.625,3.1666666666666665,3.3333333333333335,2.6666666666666665,2.6666666666666665,5,0.9999980880581648
1.8571428571428572,0.0,0.0,1.3333333333333333,0.75,0.5,1.5,0.0,0.375,1.5,2.1666666666666665,3.6666666666666665,1.6666666666666667,1,0.9998304167842316
1.5,0.3333333333333333,0.6666666666666666,2.0,1.75,2.3333333333333335,1.5,3.0,0.125,3.1666666666666665,2.6666666666666665,1.6666666666666667,1.3333333333333333,5,0.8827343803888772
1.5,0.0,0.0,1.5,0.0,0.1666666666666666,1.0,0.5,0.125,2.1666666666666665,2.8333333333333335,0.0,1.3333333333333333,2,0.9999996609159172
1.5,0.0,0.0,1.3333333333333333,0.25,1.6,2.0,2.6666666666666665,2.875,2.1666666666666665,3.0,2.5,1.0,1,0.9982116550781891
2.8333333333333335,0.1666666666666666,0.0,1.3333333333333333,1.75,2.1666666666666665,0.5,2.6666666666666665,0.375,0.8333333333333334,2.0,0.6666666666666666,0.0,1,0.9860699530964686
1.125,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,1.3333333333333333,2.0,1.6666666666666667,2,0.9999998795882173
1.5,1.3333333333333333,0.0,1.3333333333333333,2.5,1.5,1.0,0.5,0.25,2.8333333333333335,2.8333333333333335,1.0,1.6666666666666667,1,0.9998412053848246
1.4285714285714286,0.75,0.0,4.0,0.3333333333333333,1.0,1.5,0.0,1.25,3.3333333333333335,3.0,2.3333333333333335,2.3333333333333335,1,0.9986713759170722
2.6,0.0,0.0,0.6666666666666666,2.0,1.8333333333333333,3.0,1.0,0.375,0.8,1.0,1.0,0.3333333333333333,1,0.9986465533147539
1.0,0.5,0.8333333333333334,2.3333333333333335,0.5,1.5,2.0,0.0,0.0,2.3333333333333335,2.6666666666666665,3.5,2.3333333333333335,5,0.9286652048296417
1.25,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,2.4,1.0,1.0,1.625,1.8333333333333333,3.5,2.3333333333333335,1.0,4,0.9993930739089251
1.875,0.0,0.3333333333333333,0.6666666666666666,0.25,0.5,1.5,1.6666666666666667,0.25,1.3333333333333333,3.5,1.0,0.3333333333333333,0,0.998735226070687
0.875,0.0,0.6666666666666666,0.6666666666666666,0.0,2.6,0.0,0.3333333333333333,1.25,2.1666666666666665,3.8333333333333335,3.5,2.0,4,0.9998971387763296
1.25,2.0,2.0,3.3333333333333335,3.0,2.0,1.5,0.0,0.625,2.8333333333333335,2.0,2.0,2.0,5,0.999999999990397
1.375,0.6666666666666666,1.1666666666666667,1.3333333333333333,0.0,2.1666666666666665,0.0,0.6666666666666666,0.75,2.5,2.8333333333333335,3.5,1.0,4,0.999451409954082
2.142857142857143,0.0,1.1666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.0,0.0,0.5,2.8333333333333335,2.5,4.0,1.6666666666666667,4,0.9999752190117694
1.375,0.0,0.3333333333333333,1.3333333333333333,0.75,0.6666666666666666,0.0,0.5,1.125,1.3333333333333333,2.3333333333333335,1.0,0.6666666666666666,3,0.5652896437889481
1.875,0.6,0.1666666666666666,0.3333333333333333,1.25,1.8,0.0,0.3333333333333333,1.125,3.0,2.6,4.0,3.0,3,0.9761074616180263
